name,price,image,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,rating
AMD Ryzen 3 3100,,,4,3.6 GHz,3.9 GHz,Zen 2,65 W,None,4.5
Intel Core i7-12700,299.94,,12,2.1 GHz,4.9 GHz,Alder Lake,65 W,Intel UHD Graphics 770,4.5
Intel Core i7-11700F,187.99,,8,2.5 GHz,4.9 GHz,Rocket Lake,65 W,None,4.5
Intel Core i7-14700,319.97,https://cdna.pcpartpicker.com/static/forever/images/product/b9452ff8fe5558fb1c91cd979ec6ed2c.1600.jpg,20,2.1 GHz,5.4 GHz,Raptor Lake Refresh,65 W,Intel UHD Graphics 770,5
Intel Core i9-11900K,360,,8,3.5 GHz,5.3 GHz,Rocket Lake,125 W,Intel UHD Graphics 750,4
Intel Core i7-13700F,340,https://cdna.pcpartpicker.com/static/forever/images/product/e02f59843736d101374f75d18c244a30.1600.jpg,16,2.1 GHz,5.2 GHz,Raptor Lake,65 W,None,4.5
Intel Core Ultra 7 265,345.91,https://cdna.pcpartpicker.com/static/forever/images/product/c67f264d8f856369d608653e1172a492.1600.jpg,20,2.4 GHz,5.3 GHz,Arrow Lake,65 W,Intel Xe,0
Intel Core i7-10700,284.99,,8,2.9 GHz,4.8 GHz,Comet Lake,65 W,Intel UHD Graphics 630,4.5
AMD Athlon 3000G (14nm),49.13,,2,3.5 GHz,,Zen,35 W,Radeon Vega 3,4.5
AMD Ryzen 3 2200G,,,4,3.5 GHz,3.7 GHz,Zen,65 W,Radeon Vega 8,4.5
AMD Athlon X2 340,29.95,,2,3.2 GHz,,Piledriver,65 W,None,0
Intel Xeon E5-2699 V4,,,22,2.2 GHz,3.6 GHz,Broadwell,145 W,None,5
Intel Core i7-9700,148,,8,3 GHz,4.7 GHz,Coffee Lake Refresh,65 W,Intel HD Graphics 630,5
Intel Core i5-11400,139.99,,6,2.6 GHz,4.4 GHz,Rocket Lake,65 W,Intel UHD Graphics 730,4.5
AMD EPYC 4585PX,689.99,https://cdna.pcpartpicker.com/static/forever/images/product/772d3bad6c842fdab42f871305ecac4a.1600.jpg,16,4.3 GHz,5.7 GHz,Zen 5,170 W,Radeon,0
Intel Core i5-10600K,183,,6,4.1 GHz,4.8 GHz,Comet Lake,125 W,Intel UHD Graphics 630,4.5
Intel Core i3-14100,143.99,https://cdna.pcpartpicker.com/static/forever/images/product/874cc0e600bde06d75755309677a87e2.1600.jpg,4,3.5 GHz,4.7 GHz,Raptor Lake Refresh,60 W,Intel UHD Graphics 730,0
Intel Core i5-13500,290.99,https://cdna.pcpartpicker.com/static/forever/images/product/6afcbca8a6703a4c42dba3d6c4720724.1600.jpg,14,2.5 GHz,4.8 GHz,Raptor Lake,65 W,Intel UHD Graphics 770,4.5
Intel Core i7-4770,136.66,,4,3.4 GHz,3.9 GHz,Haswell,84 W,Intel HD Graphics 4600,4.5
AMD Ryzen 5 3500X,,,6,3.6 GHz,4.1 GHz,Zen 2,65 W,None,4.5
Intel Core i7-3770,,,4,3.4 GHz,,Ivy Bridge,77 W,Intel HD Graphics 4000,4.5
AMD Ryzen 7 2700,,,8,3.2 GHz,4.1 GHz,Zen+,65 W,None,4.5
Intel Core i5-14500,239.49,https://cdna.pcpartpicker.com/static/forever/images/product/c70c79371c7131082c89348493ae7998.256p.jpg,14,2.6 GHz,5 GHz,Raptor Lake Refresh,65 W,Intel UHD Graphics 770,4.5
Intel Core i9-10850K,329.97,,10,3.6 GHz,5.2 GHz,Comet Lake,125 W,Intel UHD Graphics 630,4.5
Intel Core i7-6950X,2799,,10,3 GHz,3.5 GHz,Broadwell,140 W,None,0
Intel Core i5-7500,167,,4,3.4 GHz,3.8 GHz,Kaby Lake,65 W,Intel HD Graphics 630,4.5
AMD Threadripper 3960X,1417.87,,24,3.8 GHz,4.5 GHz,Zen 2,280 W,None,4.5
Intel Core i9-13900KF,410,https://cdna.pcpartpicker.com/static/forever/images/product/ef583b00501fbe1d9df909c3ffe2b413.1600.jpg,24,3 GHz,5.8 GHz,Raptor Lake,125 W,None,4.5
Intel Core i5-4460,,,4,3.2 GHz,3.4 GHz,Haswell Refresh,84 W,Intel HD Graphics 4600,4.5
AMD Ryzen 5 5600X3D,,,6,3.3 GHz,4.4 GHz,Zen 3,105 W,None,4.5
Intel Core i5-11600K,198.98,,6,3.9 GHz,4.9 GHz,Rocket Lake,125 W,Intel UHD Graphics 750,4.5
Intel Core i7-4790,172.83,,4,3.6 GHz,4 GHz,Haswell Refresh,84 W,Intel HD Graphics 4600,4
Intel Core i5-8600K,216,,6,3.6 GHz,4.3 GHz,Coffee Lake,95 W,Intel UHD Graphics 630,4.5
Intel Core i7-7800X,200,,6,3.5 GHz,4 GHz,Skylake,140 W,None,4.5
AMD Ryzen 9 3950X,425,,16,3.5 GHz,4.7 GHz,Zen 2,105 W,None,4.5
