name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
Thermalright TL-M12QW-S X3 3-Pack,21.24,https://cdna.pcpartpicker.com/static/forever/images/product/97e0887ae66156c5efa81649efede628.256p.jpg,68.9 CFM,White,28.2 dB,Yes,2000 RPM,120 mm,0
Thermalright TL-M12,,,47.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,5
ARCTIC P14 Pro Reverse,6.95,https://cdna.pcpartpicker.com/static/forever/images/product/cf1dd149118c001b4080037607b4293f.256p.jpg,98 CFM,Black,,Yes,400 - 2650 RPM,140 mm,0
Thermalright TL-C12CW-S X5 5-Pack,,,66.17 CFM,White,25.6 dB,Yes,1550 RPM,120 mm,4
Asus ROG STRIX XF,,https://cdna.pcpartpicker.com/static/forever/images/product/5367609ba2ba991fea41ef5f5c6010cc.256p.jpg,62.5 CFM,Black,22.5 dB,Yes,1800 RPM,120 mm,4.5
Phanteks D30-120 Reversed 3-Pack,77.98,https://cdna.pcpartpicker.com/static/forever/images/product/a2442a0a35374d7415c70aafbc9d0d88.256p.jpg,61.5 CFM,Black,31.8 dB,Yes,250 - 2000 RPM,120 mm,4.5
Lian Li UNI FAN TL LCD 120 Reverse Blade 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/696db95601c70fe340bcf0387a198dcc.256p.jpg,83.4 CFM,Black,34 dB,Yes,,120 mm,4.5
ARCTIC P12 Pro PST LN 5-Pack,24.99,https://cdna.pcpartpicker.com/static/forever/images/product/bd5e7532a0b7e04a9b0087064aeca05f.256p.jpg,49 CFM,Black,,Yes,450 - 2000 RPM,120 mm,4
ARCTIC P14 Pro Reverse 3-Pack,19.99,https://cdna.pcpartpicker.com/static/forever/images/product/d1862a32d4f861ec26a9c879abe612ee.256p.jpg,98 CFM,Black,,Yes,400 - 2650 RPM,140 mm,0
be quiet! Light Wings LX 3-Pack,38.94,https://cdna.pcpartpicker.com/static/forever/images/product/334ac229fc80499d3121cf51f953029a.256p.jpg,61.8 CFM,Black,30.9 dB,Yes,2100 RPM,120 mm,5
ARCTIC S12038-8K 3-Pack,35.47,,220 CFM,Black,,Yes,800 - 8000 RPM,120 mm,5
NZXT FZ,,,59.1 CFM,Clear,26.8 dB,No,1200 RPM,120 mm,5
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,52.99,https://cdna.pcpartpicker.com/static/forever/images/product/2bb0d86bb070e6b864aeebabb5d6b42d.256p.jpg,12.1 - 82.5 CFM,Black,,Yes,400 - 2000 RPM,140 mm,4
