name,price,image,capacity,interface,type,form_factor,cache,price_gb,rating
Western Digital WD_BLACK SN850P for PS5,321.53,https://cdna.pcpartpicker.com/static/forever/images/product/40b92d454cb0328b42a7033a771def65.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.161,5
Crucial T705 W/Heatsink Limited Edition,,https://cdna.pcpartpicker.com/static/forever/images/product/8215929150a483462d126de1dc690138.256p.jpg,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,,5
Sabrent Rocket Q,,,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
TEAMGROUP CX2,139.4,https://cdna.pcpartpicker.com/static/forever/images/product/fb8d005cb6acb1f906102c2083a2f1cc.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.139,4.5
Addlink S91,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2230,,,0
Samsung MZVPV256HDGL-00000,,https://cdna.pcpartpicker.com/static/forever/images/product/7bad77200322df5d547058c9650491cd.256p.jpg,256 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,3
Silicon Power XS70,,https://cdna.pcpartpicker.com/static/forever/images/product/b5c093326e7f16f0d34445e39316f0ea.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
Western Digital PC SN730,,https://cdna.pcpartpicker.com/static/forever/images/product/1824caea7b9aed1eb97c1f8dec46fc65.256p.jpg,256 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,5
ADATA LEGEND 900 PRO,185.98,https://cdna.pcpartpicker.com/static/forever/images/product/3900bcfaa7fae774aed915fea5e19252.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.186,0
Gigabyte AORUS Gen4 7300 (w/Heatsink),292.99,https://cdna.pcpartpicker.com/static/forever/images/product/81bcf13c3f5982a962a522236572e6dc.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.146,5
Samsung MZVPV512HDGL-00000,,https://cdna.pcpartpicker.com/static/forever/images/product/561b699ac489087ba0d6f94faa8a0377.256p.jpg,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
