web_scraper_order,web_scraper_start_url,pagination,name,channels,rating,price,channel_wattage,name3,pwm_(4-pin),form_factor,price2,color,channels2,channel_wattage2,pwm_(4-pin)2,color2,form_factor2,name2,name4
"1784223268-31","https://uk.pcpartpicker.com/products/fan-controller/","","BitFenix Recon (Black)","Channels5","(11)","Add","Channel Wattage10 W","(11)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/5f0ef6074aa20b5f6aff22660f89d25a.med.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/5f0ef6074aa20b5f6aff22660f89d25a.med.256p.jpg"
"1784223268-32","https://uk.pcpartpicker.com/products/fan-controller/","","Lamptron FC-CF525-BK","Channels5","(1)","Add","Channel Wattage60 W","(1)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/eab690a01fd51d6b19622e24d426d59e.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/eab690a01fd51d6b19622e24d426d59e.256p.jpg"
"1784223268-33","https://uk.pcpartpicker.com/products/fan-controller/","","Vetroo VT-HUB-10A10P-PK","Channels10","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorPink","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784223268-34","https://uk.pcpartpicker.com/products/fan-controller/","","BitFenix Recon (White)","Channels5","(2)","Add","Channel Wattage10 W","(2)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/55565c09798810f5c0df3f407eeec412.med.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/55565c09798810f5c0df3f407eeec412.med.256p.jpg"
"1784223268-35","https://uk.pcpartpicker.com/products/fan-controller/","","Lamptron Fanatic","Channels5","(0)","Add","Channel Wattage60 W","(0)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/419-SLZ+k4L.jpg","https://m.media-amazon.com/images/I/419-SLZ+k4L.jpg"
"1784223268-36","https://uk.pcpartpicker.com/products/fan-controller/","","Aerocool Touch 2100","Channels5","(1)","Add","Channel Wattage25 W","(1)","PWM (4-Pin)No","Form Factor2 x 5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/51DEQrQ-ImL.jpg","https://m.media-amazon.com/images/I/51DEQrQ-ImL.jpg"
"1784223268-37","https://uk.pcpartpicker.com/products/fan-controller/","","Silverstone FP59B","Channels1","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)No","Form Factor5.25""","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/b07394b07acac69dd1e4fdb162b17ba3.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b07394b07acac69dd1e4fdb162b17ba3.256p.jpg"
"1784223268-38","https://uk.pcpartpicker.com/products/fan-controller/","","NZXT Sentry LX","Channels5","(15)","Add","Channel Wattage6 W","(15)","PWM (4-Pin)No","Form Factor2 x 5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784223268-39","https://uk.pcpartpicker.com/products/fan-controller/","","Aerocool CoolTouch-R Black","Channels4","(2)","Add","Channel Wattage20 W","(2)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/31Po+fhq31L.jpg","https://m.media-amazon.com/images/I/31Po+fhq31L.jpg"
"1784223268-40","https://uk.pcpartpicker.com/products/fan-controller/","","Gelid Solutions SpeedTouch6","Channels6","(1)","Add","Channel Wattage30 W","(1)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/235ebfc2193f5d732f3212b894aed4e2.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/235ebfc2193f5d732f3212b894aed4e2.256p.jpg"
