name,price,image,fan_rpm,noise_level,color,radiator_size,size,rating
Thermalright Frozen Edge,53.56,2150,2150 RPM,28.1 dB,White,240 mm,240 mm,5
Thermalright Frozen Prism ARGB,84.02,"https://cdna.pcpartpicker.com/static/forever/images/product/3624e552bf2cd8e60e652179358dafed.256p.jpg",1850 RPM,27 dB,Black,360 mm,360 mm,4.5
Noctua NH-U9S chromax.black,73.94,400,2000,400 - 2000 RPM,16.3 - 22.8 dB,Black,,,4.5
Thermalright Assassin X Refined SE RGB,Add,1550,1550 RPM,25.6 dB,Black / Silver,,,4.5
Deepcool AG400,23.5,https://cdna.pcpartpicker.com/static/forever/images/product/8542f130e5be0c87e58e7e26be7a2ccd.256p.jpg,500 - 2000 RPM,31.6 dB,Black / Silver,,,4.5
Phanteks Glacier One 360M25 G2,89.9,https://cdna.pcpartpicker.com/static/forever/images/product/58e79aa0d42de3fd917314764b33db33.256p.jpg,350 - 2000 RPM,35.13 dB,Black,360 mm,360 mm,4.5
TRYX PANORAMA ARGB (2025),229.99,https://cdna.pcpartpicker.com/static/forever/images/product/de672a3cd34e1068797bc0899a99697c.256p.jpg,500 - 1850 RPM,28.87 dB,Black,360 mm,360 mm,4
Thermalright Phantom Spirit 120,,https://cdna.pcpartpicker.com/static/forever/images/product/904cfe2602943f2e7267ea8bcf5c5583.256p.jpg,1500 RPM,25.6 dB,Black / Silver,,,4.5
Corsair NAUTILUS 240 RS,68.22,https://cdna.pcpartpicker.com/static/forever/images/product/07f1acadd4e0bf87d1cb0a12b02cbd3c.256p.jpg,2100 RPM,34 dB,Black,240 mm,240 mm,4
be quiet! Pure Loop 2,59.9,https://cdna.pcpartpicker.com/static/forever/images/product/6e0b2968e65605ca10fcb219738dd66d.256p.jpg,17.2,36.8,17.2 - 36.8 dB,Black,360 mm,360 mm,0
be quiet! Dark Rock 5,56.99,https://cdna.pcpartpicker.com/static/forever/images/product/7b7e8cf40e763260dde7362ecc53ce5c.256p.jpg,2100 RPM,11.9 - 29.8 dB,Black,,,5
Thermalright Frozen Warframe ARGB,86.94,https://cdna.pcpartpicker.com/static/forever/images/product/94d02a029c5cc15e833556f333836b67.256p.jpg,2000 RPM,22.1 dB,Black,360 mm,360 mm,4
be quiet! Pure Loop 2 FX,108.65,https://cdna.pcpartpicker.com/static/forever/images/product/4684db93dca8ab922b9b09d0fa90ddf1.256p.jpg,8,34,8 - 34 dB,Black,360 mm,360 mm,4.5
ARCTIC Liquid Freezer III 240 A-RGB,69.95,https://cdna.pcpartpicker.com/static/forever/images/product/790e8c1c5d6ac9554dbae1b88ab9d30e.256p.jpg,200 - 2000 RPM,Black,White,240 mm,240 mm,4
Thermalright Phantom Spirit 120 Digital EVO,45,https://cdna.pcpartpicker.com/static/forever/images/product/609dd9aca53bc830731d088d9c7ed292.256p.jpg,2150 RPM,27 dB,Black,,,0
NZXT Kraken Plus 280,131.64,https://cdna.pcpartpicker.com/static/forever/images/product/e6e1ca9d8cdca108841cacb87a14affb.256p.jpg,500 - 1700 RPM,30 dB,Black,280 mm,280 mm,0
