name,price,image,capacity,interface,type,price_gb,color,rating
Buslink DL-4TSDU31G2,,https://cdna.pcpartpicker.com/static/forever/images/product/288d5ab732b621482816c442e5b57468.256p.jpg,4000 GB,USB Type-A 3.2 Gen 2,Portable,,Black,0
Buffalo Technology Americas MiniStation,,https://cdna.pcpartpicker.com/static/forever/images/product/fa662133ab183642e9af20bcd3096436.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,Black,5
Apricorn Apricorn Aegis Padlock,,https://cdna.pcpartpicker.com/static/forever/images/product/b774d153e54365e8c4556e6f055885ce.256p.jpg,128 GB,USB Type-A 3.2 Gen 1,Portable,,Black,0
Freecom Mobile Drive Classic 3.0,,https://cdna.pcpartpicker.com/static/forever/images/product/bd41159b673850ac5e103274e1b61b8b.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,Black,0
ADATA SD600,,,512 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Seagate STDR5000100,,https://cdna.pcpartpicker.com/static/forever/images/product/34581cf837ab0142fbb1ab86579cb38e.256p.jpg,5000 GB,,Portable,,,0
Samsung T1,,https://cdna.pcpartpicker.com/static/forever/images/product/fe42042506a349f0de6dc5bd5ab54973.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,5
Transcend TS128GSJC10K,,,128 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Transcend TS128GESD200K,,,128 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Lenovo ThinkPad,,https://cdna.pcpartpicker.com/static/forever/images/product/9929dda355e3a9cda6b766cc389b9192.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Imation Apollo Expert,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Apricorn Aegis Padlock,,https://cdna.pcpartpicker.com/static/forever/images/product/d6e35008954d2c021870028854097996.256p.jpg,1000 GB,"eSATA 3.0 Gb/s, USB Type-A 2.0",Portable,,,0
Apricorn Aegis Portable 3.0,,https://cdna.pcpartpicker.com/static/forever/images/product/ee24318a0d1433bee8ee22e137009671.256p.jpg,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
