name,price,image,chipset,memory,core_clock,boost_clock,color,length,rating
Gigabyte WINDFORCE OC V2,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/2fb4287bfef9ba93a23551754afc515b.256p.jpg,GeForce RTX 3050 6GB,6 GB,1040 MHz,1477 MHz,Black / Gray,191 mm,0
Asus TUF GAMING,1960.55,https://cdna.pcpartpicker.com/static/forever/images/product/19f70523f3601fff03508a7eee80b6e5.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,Black / Silver,Black / Silver,348 mm,5
Gigabyte GAMING,558.53,https://cdna.pcpartpicker.com/static/forever/images/product/ba9a14773a90d2abf6fafa461bd2a915.256p.jpg,Radeon RX 9060 XT,16 GB,2220 MHz,3230 MHz,Black,281 mm,0
MSI RX 6600 XT MECH 2X 8G OC,515.54,https://cdna.pcpartpicker.com/static/forever/images/product/de7225d83465d909752ae5f50e9d3d36.256p.jpg,Radeon RX 6600 XT,8 GB,1968 MHz,2602 MHz,Black / Silver,235 mm,4.5
Asus GT1030-2G-CSM,106.86,https://cdna.pcpartpicker.com/static/forever/images/product/23f33272427d79096bbdf50cde76b66f.256p.jpg,GeForce GT 1030,2 GB,1266 MHz,1506 MHz,Black / Blue,173 mm,4.5
MSI GTX 1050 Ti 4GT OC,263.99,https://cdna.pcpartpicker.com/static/forever/images/product/1085f0f0294e6eb6340c70bf6324a9f8.256p.jpg,GeForce GTX 1050 Ti,4 GB,1341 MHz,1455 MHz,Black / White,215 mm,4.5
MSI GeForce RTX 3080 VENTUS 3X 10G OC,879.99,https://cdna.pcpartpicker.com/static/forever/images/product/3c166cd7b1f49475c3b8295799a11af5.256p.jpg,GeForce RTX 3080 10GB,10 GB,1440 MHz,Black,Black,305 mm,4.5
Asus ROG STRIX OC,739.9,https://cdna.pcpartpicker.com/static/forever/images/product/590ab107d70cad5bd7d3fab689276c29.256p.jpg,GeForce RTX 5070,12 GB,2160 MHz,2685 MHz,Black / Silver,332 mm,5
Palit GamingPro OC,1199.99,https://cdna.pcpartpicker.com/static/forever/images/product/f865eec9d1338ef5af054503614481d5.256p.jpg,GeForce RTX 5080,16 GB,2295 MHz,2700 MHz,Black,332 mm,4.5
Gigabyte EAGLE,535,https://cdna.pcpartpicker.com/static/forever/images/product/232dd1c4ff3c7494fae18e5e99c878ce.256p.jpg,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,Black / Silver,282 mm,4.5
ASRock Steel Legend OC,480.99,https://cdna.pcpartpicker.com/static/forever/images/product/1a235541a242ee9e62115ee9f4e43a7d.256p.jpg,Radeon RX 9060 XT,16 GB,2220 MHz,3320 MHz,White / Gray,298 mm,4.5
MSI GeForce GTX 1650 SUPER,419,https://cdna.pcpartpicker.com/static/forever/images/product/f2edab5ee54327da5750e8ecc9f4931a.256p.jpg,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1740 MHz,Black / Silver,180 mm,4.5
MSI GAMING X,349.67,https://cdna.pcpartpicker.com/static/forever/images/product/1f14312711fd98528c52385a0d9a7d5a.256p.jpg,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,Black,247 mm,4.5
PNY VCG508016TFXPB1,1280.99,https://cdna.pcpartpicker.com/static/forever/images/product/0f3e8c7fec641072601f855e0e3f8cf2.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,2620 MHz,Black,329 mm,4
EVGA FTW3 ULTRA GAMING LE iCX3,1298,GeForce RTX 3080 Ti,GeForce RTX 3080 Ti,12 GB,1365 MHz,1800 MHz,Black,300 mm,4.5
Palit GamingPro,1189.98,https://cdna.pcpartpicker.com/static/forever/images/product/14a08a5062ab999771a13a1fb5aa43cf.256p.jpg,GeForce RTX 5080,16 GB,2295 MHz,2617 MHz,Black,332 mm,4
