name,price,image,speed,ram_type,modules,capacity,first_word_latency,cas_latency,price_gb,color,rating
Crucial CT16G52C42S5 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/bf52463478e6699bc3c9f8732fc67bed.256p.jpg,DDR5-5200,DDR5,1 x 16GB,16GB,16.154 ns,42,,Black,0
Crucial CT8G48C40S5 8 GB,170.28,https://cdna.pcpartpicker.com/static/forever/images/product/da1b7bb1e73ce173d8efb4227adb4898.256p.jpg,DDR5-4800,DDR5,1 x 8GB,8GB,16.667 ns,40,£21.285,Black,0
Samsung M393A4K40CB1-CRC 32 GB,276.7,https://cdna.pcpartpicker.com/static/forever/images/product/5c0dcb167824a82dc97e1e318b57d64d.256p.jpg,DDR4-2400,DDR4,1 x 32GB,32GB,14.167 ns,17,£8.647,Green / Black,0
Crucial CT16G4SFD824A 16 GB,110,https://cdna.pcpartpicker.com/static/forever/images/product/f0817833e61dbdb46446149f2c102d62.256p.jpg,DDR4-2400,DDR4,1 x 16GB,16GB,14.167 ns,17,£6.875,Black / Green,0
Crucial CT16G4RFS4293 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/e39e153783b1cab35004afb8c3786dcf.256p.jpg,DDR4-2933,DDR4,1 x 16GB,16GB,14.32 ns,21,,Green / Black,0
OLOy MD4U082619BBDA 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/ac235a9418532e7325087f8f3652446a.256p.jpg,DDR4-2666,DDR4,2 x 8GB,16GB,14.254 ns,19,,Black / Red,5
HP V10 RGB 32 GB,,,DDR4-3200,DDR4,2 x 16GB,32GB,8.75 ns,14,,Silver / Black,0
PNY XLR8 8 GB,,,DDR4-3600,DDR4,1 x 8GB,8GB,10 ns,18,,Black,0
Apacer Panther 32 GB,,,DDR5-6000,DDR5,2 x 16GB,32GB,13.333 ns,40,,Silver / Black,0
TEAMGROUP T-Force Vulcanα 16 GB,,,DDR5-5200,DDR5,2 x 8GB,16GB,15.385 ns,40,,Black,0
Crucial CT2K8G48C40S5 16 GB,299.01,https://cdna.pcpartpicker.com/static/forever/images/product/c517fc06ab5b23c973429236e1965ed0.256p.jpg,DDR5-4800,DDR5,2 x 8GB,16GB,16.667 ns,40,£18.688,Black,0
Crucial CT32G4RFD424A 32 GB,423.82,,DDR4-2400,DDR4,1 x 32GB,32GB,14.167 ns,17,£13.244,,0
Silicon Power SP004GBLFU213N02 4 GB,,,DDR4-2133,DDR4,1 x 4GB,4GB,14.065 ns,15,,,0
Crucial CT2K8G4DFD8213 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/e31c07055b35a6ee78b033026b5b6823.256p.jpg,DDR4-2133,DDR4,2 x 8GB,16GB,14.065 ns,15,,Black / Green,4.5
