name,price,image,socket,form_factor,memory_max,memory_slots,color,rating
Asus TUF GAMING Z790-PLUS WIFI,200.19,https://cdna.pcpartpicker.com/static/forever/images/product/aeb8a7dad48da098b42945e9439076fe.256p.jpg,LGA1700,ATX,192 GB,4,Black / Gray,4.5
Asus ROG STRIX B550-A GAMING,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/5ac88d84f61dd91c0621ac30c4dc5480.256p.jpg,AM4,ATX,128 GB,4,Black / White,4.5
Gigabyte X870E AORUS PRO ICE,213.41,https://cdna.pcpartpicker.com/static/forever/images/product/e10a4432559e6016902b572d4e062e7c.256p.jpg,AM5,ATX,256 GB,4,White,4.5
Asus TUF GAMING B850M-E WIFI,207.25,https://cdna.pcpartpicker.com/static/forever/images/product/2b84e9827be355bfd8f5967e2af45222.256p.jpg,AM5,Micro ATX,256 GB,4,Black,5
Gigabyte B650 AORUS ELITE AX ICE,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/7352b7865a2e77e70371d5c81a01f5a7.256p.jpg,AM5,ATX,192 GB,4,Silver,4.5
Asus PRIME B650-PLUS WIFI,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/3ed831f2c6b1c74abe73d5c4d40bd306.256p.jpg,AM5,ATX,192 GB,4,Black / Silver,4.5
MSI B450M-A PRO MAX II,,https://cdna.pcpartpicker.com/static/forever/images/product/a1a4552c218bc30c1738a3642c5691dd.256p.jpg,AM4,Micro ATX,64 GB,2,Black,4
MSI MAG Z890 TOMAHAWK WIFI,283.89,https://cdna.pcpartpicker.com/static/forever/images/product/c4627c92bb33a5c35c247e2b415d25ed.256p.jpg,LGA1851,ATX,256 GB,4,Black / Yellow,4
Gigabyte B850 GAMING WIFI6,131.99,https://cdna.pcpartpicker.com/static/forever/images/product/3138eb73b8a80dfd7e279a4c1d7ab934.256p.jpg,AM5,ATX,256 GB,4,Black / Gray,4
ASRock B650M-HDV/M.2 White,149.65,https://cdna.pcpartpicker.com/static/forever/images/product/d28123654f51c07102f4b17dc4a08e54.256p.jpg,AM5,Micro ATX,128 GB,2,White,4
Gigabyte Z890 EAGLE WIFI7 PLUS,226.55,https://cdna.pcpartpicker.com/static/forever/images/product/9f1aa8989add66812cfab5153e0d077b.256p.jpg,LGA1851,ATX,256 GB,4,Black,0
