name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
Audio-Technica ATH-M40x,93.9,https://cdna.pcpartpicker.com/static/forever/images/product/e8e574f4ca94818a6bb8e5ad4bdf2963.256p.jpg,Circumaural,15 Hz - 24 kHz,No,No,Closed,Black / Silver,4.5
HiFiMAN SUNDARA,,Circumaural,Circumaural,6 Hz - 75 kHz,No,No,Open,Black,5
HP HyperX Cloud Stinger 2 Core,28.49,Circumaural,Circumaural,10 Hz - 25 kHz,Yes,No,Closed,Black,0
Creative Labs Zen Air,39.99,https://cdna.pcpartpicker.com/static/forever/images/product/2bc82914d17c63f855023b6ae2081c55.256p.jpg,In Ear,20 Hz - 20 kHz,Yes,Yes,Closed,White,0
HiFiMAN Arya,599,Circumaural,Circumaural,8 Hz - 65 kHz,No,No,Open,Black,5
Sennheiser HD 599 SE,,Circumaural,Circumaural,12 Hz - 38.5 kHz,No,No,Open,Black / Silver,3.5
Corsair HS55 WIRELESS CORE,,https://cdna.pcpartpicker.com/static/forever/images/product/3101af29b649f4673d2944053c534c9c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,4
SteelSeries Arctis Nova 3,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/0fdfe858d8a990e91377d94b3071bb16.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black,5
Bose QuietComfort Ultra,299.93,https://cdna.pcpartpicker.com/static/forever/images/product/00b02640c942ffef6448571d621c8c68.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Turtle Beach Atlas Air,159.99,Circumaural,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,5
Sennheiser HD 490 PRO,377.02,https://cdna.pcpartpicker.com/static/forever/images/product/6bbb2b83fb25abcbacfa5b06d1fe7bd5.256p.jpg,Circumaural,false,No,No,Open,Black,0
Sennheiser HD 650,280,https://cdna.pcpartpicker.com/static/forever/images/product/3aabf4afad26ef129b33dd00d22ff4b1.256p.jpg,Circumaural,10 Hz - 39.5 kHz,No,No,Open,Black,5
Asus ROG Theta 7.1,293.82,https://cdna.pcpartpicker.com/static/forever/images/product/897f5159c73818f5198306187f019f90.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,No,Closed,Black,0
Beyerdynamic DT 700 PRO X,205,Circumaural,Circumaural,5 Hz - 40 kHz,No,No,Closed,Black,3.5
Corsair HS55,97.99,https://cdna.pcpartpicker.com/static/forever/images/product/891ce0e552bf1b796374c47c94d1ce9f.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Corsair VIRTUOSO RGB Wireless XT,189.95,https://cdna.pcpartpicker.com/static/forever/images/product/9d283c90ff0f0ca80335e51fc4ceef78.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black / Silver,4
